W/L,winner,method,Round,Date,Fighter,Opponent,f_SLpM,f_SApM,f_TD_pct,f_W_pct,f_KO_pct,f_Sub_pct,f_Finish_pct,f_ctrl,o_SLpM,o_SApM,o_TD_pct,o_W_pct,o_KO_pct,o_Sub_pct,o_Finish_pct,o_ctrl,f_ELO,o_ELO,f_survivor_score,o_survivor_score
win,Mateusz Gamrot,DEC,3,2025-05-31,Mateusz Gamrot,Ludovit Klein,3.229,3.221,4.3,0.6,0.429,0.143,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1028.0,1000.0,-90.0,1000.0
loss,Dan Hooker,DEC,3,2024-08-17,Mateusz Gamrot,Dan Hooker,3.085,3.067,4.222,0.8,0.429,0.143,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1050.0,1000.0
win,Mateusz Gamrot,DEC,3,2024-03-09,Mateusz Gamrot,Rafael Dos Anjos,2.97,3.174,3.375,0.8,0.5,0.167,1.0,0.0,1.435,1.603,1.0,0.0,0.0,0.0,1.0,0.0,1008.0,1000.0,1100.0,1000.0
win,Mateusz Gamrot,KO/TKO,2,2023-09-23,Mateusz Gamrot,Rafael Fiziev,3.027,3.225,3.714,0.8,0.4,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1008.0,1000.0,1010.0
win,Mateusz Gamrot,DEC,3,2023-03-04,Mateusz Gamrot,Jalin Turner,3.259,3.344,3.667,0.8,0.5,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,-270.0,1000.0
loss,Beneil Dariush,DEC,3,2022-10-22,Mateusz Gamrot,Beneil Dariush,3.543,3.185,3.6,0.8,0.5,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1164.5495410188564,1000.0,1200.0,1000.0
win,Mateusz Gamrot,DEC,5,2022-06-25,Mateusz Gamrot,Arman Tsarukyan,3.788,2.688,3.0,0.75,0.667,0.333,1.0,0.0,10.233,0.465,0.0,1.0,1.0,0.0,1.0,0.0,1000.0,1000.0,1200.0,1000.0
win,Mateusz Gamrot,KO/TKO,2,2021-12-18,Mateusz Gamrot,Diego Ferreira,4.098,2.094,2.667,0.667,0.5,0.5,1.0,0.0,14.746,4.068,0.0,1.0,1.0,0.0,1.0,0.0,1008.0,1016.0,-260.0,1020.0
win,Mateusz Gamrot,SUB,1,2021-07-17,Mateusz Gamrot,Jeremy Stephens,4.259,2.2,3.5,0.5,1.0,0.0,1.0,0.0,4.133,4.867,0.0,0.0,0.0,0.0,1.0,0.0,1000.0,1000.0,1000.0,1000.0
win,Mateusz Gamrot,KO/TKO,2,2021-04-10,Mateusz Gamrot,Scott Holtzman,3.467,2.467,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992.0,1000.0,920.0,1000.0
loss,Guram Kutateladze,DEC,3,2020-10-17,Mateusz Gamrot,Guram Kutateladze,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,700.0,1000.0
loss,Michal Oleksiejczuk,KO/TKO,1,2021-10-30,Shamil Gamzatov,Michal Oleksiejczuk,4.267,2.133,0.0,1.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
win,Shamil Gamzatov,DEC,3,2019-11-09,Shamil Gamzatov,Klidson Abreu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,930.0,1000.0
win,Ryan Gandra,KO/TKO,1,2026-02-28,Ryan Gandra,Jose Daniel Medina,11.228,2.105,0.0,1.0,1.0,0.0,1.0,0.0,2.212,5.45,0.0,0.0,0.0,0.0,1.0,0.0,1008.0,1000.0,940.0,1000.0
win,Ryan Gandra,KO/TKO,1,2025-08-26,Ryan Gandra,Trent Miller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.0,1000.0,950.0,1000.0
loss,Doug Marshall,SUB,1,2007-12-12,Ariel Gandulla,Doug Marshall,2.0,2.2,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
win,Ariel Gandulla,DEC,3,2007-05-12,Ariel Gandulla,Gary Padilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
win,Tommy Gantt,SUB,1,2025-09-16,Tommy Gantt,Adam Livingston,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
loss,Darren Elkins,SUB,3,2020-11-07,Eduardo Garagorri,Darren Elkins,3.747,2.216,0.5,0.5,0.0,0.0,1.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,1000.0,960.0,1000.0
loss,Ricardo Ramos,SUB,1,2019-11-16,Eduardo Garagorri,Ricardo Ramos,4.333,2.133,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,992.0,1020.0,820.0
win,Eduardo Garagorri,DEC,3,2019-08-10,Eduardo Garagorri,Humberto Bandenay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,992.0,920.0,1120.0
win,Cody Garbrandt,DEC,3,2026-03-07,Cody Garbrandt,Xiao Long,2.877,3.636,0.625,0.4,0.667,0.0,1.0,12.812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1055.0,1000.0,970.0,1000.0
loss,Raoni Barcelos,DEC,3,2025-06-14,Cody Garbrandt,Raoni Barcelos,2.981,3.757,0.667,0.4,0.667,0.0,1.0,10.6,3.804,2.826,2.0,1.0,0.0,1.0,1.0,0.0,992.0,1016.0,1150.0,1040.0
loss,Deiveson Figueiredo,SUB,2,2024-04-13,Cody Garbrandt,Deiveson Figueiredo,3.061,3.91,0.714,0.6,0.667,0.0,1.0,11.357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1094.0,1000.0,980.0,1000.0
