W/L,winner,Date,Fighter,Opponent,f_SLpM,f_SApM,f_TD_pct,f_W_pct,f_KO_pct,f_Sub_pct,f_Finish_pct,o_SLpM,o_SApM,o_TD_pct,o_W_pct,o_KO_pct,o_Sub_pct,o_Finish_pct,f_ELO,o_ELO
loss,Renato Moicano,2020-03-14,Damir Hadzovic,Renato Moicano,3.109,2.988,0.375,0.6,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.9760000000006,1023.0
loss,Christos Giagos,2019-06-01,Damir Hadzovic,Christos Giagos,3.407,2.96,0.286,0.8,0.6,0.0,1.0,2.067,1.267,5.0,1.0,0.0,0.0,1.0,1000.0,1000.0
win,Damir Hadzovic,2019-02-23,Damir Hadzovic,Marco Polo Reyes,2.914,2.914,0.0,0.8,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0
win,Damir Hadzovic,2018-07-22,Damir Hadzovic,Nick Hein,1.514,2.951,0.0,0.5,1.0,0.0,1.0,2.473,2.587,0.833,0.6,0.0,0.0,1.0,1000.0,1000.0
loss,Alan Patrick,2018-02-03,Damir Hadzovic,Alan Patrick,1.627,3.63,0.0,0.667,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,1000.0
win,Damir Hadzovic,2017-05-28,Damir Hadzovic,Marcin Held,2.946,6.696,0.0,0.0,0.0,0.0,1.0,1.767,2.2,2.5,0.0,0.0,0.0,1.0,992.0,1000.0
loss,Mairbek Taisumov,2016-04-10,Damir Hadzovic,Mairbek Taisumov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0
loss,Oban Elliott,2024-11-16,Bassil Hafez,Oban Elliott,4.233,5.533,3.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,1000.0
win,Bassil Hafez,2024-06-01,Bassil Hafez,Mickey Gall,2.133,5.533,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0
loss,Jack Della Maddalena,2023-07-15,Bassil Hafez,Jack Della Maddalena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0
loss,Matt Mitrione,2011-01-22,Tim Hague,Matt Mitrione,2.954,4.023,1.0,0.25,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.0,1000.0
loss,Joey Beltran,2010-05-08,Tim Hague,Joey Beltran,2.022,1.843,0.667,0.333,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,1000.0
loss,Chris Tuchscherer,2010-02-06,Tim Hague,Chris Tuchscherer,0.0,3.853,0.5,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0
loss,Todd Duffee,2009-08-29,Tim Hague,Todd Duffee,0.0,1.765,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992.0,1000.0
win,Tim Hague,2009-05-23,Tim Hague,Pat Barry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,984.0,1008.0
loss,Cezary Oleksiejczuk,2025-09-02,Theo Haig,Cezary Oleksiejczuk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,1000.0
loss,Matt Sayles,2018-06-19,Yazan Hajeh,Matt Sayles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,1000.0
win,Stoney Hale,2011-01-07,Stoney Hale,Gerric Hayes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.0,1000.0
loss,Don Frye,1996-12-07,Mark Hall,Don Frye,0.429,1.81,0.0,0.6,0.75,0.25,1.0,2.609,0.193,1.0,1.0,1.0,0.0,1.0,1000.0,1000.0
